Date,Country,TemperatureC
2020-05-05,Afghanistan,19.67981699679148
2020-05-06,Afghanistan,19.843511505727076
2020-05-07,Afghanistan,20.007311349326997
2020-05-08,Afghanistan,20.17121652759124
2020-05-09,Afghanistan,20.3352270405198
2020-05-10,Afghanistan,20.499342888112686
2020-05-11,Afghanistan,20.663564070369894
2020-05-12,Afghanistan,20.82789058729142
2020-05-13,Afghanistan,20.992322438877274
2020-05-14,Afghanistan,21.156859625127446
2020-05-15,Afghanistan,21.321502146041936
2020-05-16,Afghanistan,21.486250001620753
2020-05-17,Afghanistan,21.650677802792575
2020-05-18,Afghanistan,21.81223321512948
2020-05-19,Afghanistan,21.970490849560164
2020-05-20,Afghanistan,22.12545070608462
2020-05-21,Afghanistan,22.277112784702847
2020-05-22,Afghanistan,22.425477085414844
